Ticker,Stock Description,Price J-1,Price J,Date
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,1780.0,1780.0,2025-04-16
BICC,BICI COTE D'IVOIRE,15495.0,15400.0,2025-04-16
BNBC,BERNABE COTE D'IVOIRE,950.0,950.0,2025-04-16
BOAB,BANK OF AFRICA BENIN,4690.0,4665.0,2025-04-16
BOABF,BANK OF AFRICA BURKINA FASO,4285.0,4300.0,2025-04-16
BOAC,BANK OF AFRICA COTE D'IVOIRE,5995.0,5995.0,2025-04-16
BOAM,BANK OF AFRICA MALI,2685.0,2685.0,2025-04-16
BOAN,BANK OF AFRICA NIGER,2790.0,2755.0,2025-04-16
BOAS,BANK OF AFRICA SENEGAL,4200.0,4250.0,2025-04-16
CABC,SICABLE COTE D'IVOIRE,1400.0,1400.0,2025-04-16
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,10360.0,10500.0,2025-04-16
CFAC,CFAO MOTORS COTE D'IVOIRE,610.0,610.0,2025-04-16
CIEC,CIE COTE D'IVOIRE,2490.0,2450.0,2025-04-16
ECOC,ECOBANK COTE D'IVOIRE,9925.0,9860.0,2025-04-16
ETIT,Ecobank Transnational Incorporated TOGO,14.0,14.0,2025-04-16
FTSC,FILTISAC COTE D'IVOIRE,3400.0,3395.0,2025-04-16
LNBB,LOTERIE NATIONALE DU BENIN,4850.0,4850.0,2025-04-16
NEIC,NEI-CEDA COTE D'IVOIRE,615.0,615.0,2025-04-16
NSBC,NSIA BANQUE COTE D'IVOIRE,8200.0,8190.0,2025-04-16
NTLC,NESTLE COTE D'IVOIRE,9930.0,9900.0,2025-04-16
ONTBF,ONATEL BURKINA FASO,2705.0,2675.0,2025-04-16
ORAC,ORANGE COTE D'IVOIRE,14500.0,14600.0,2025-04-16
ORGT,ORAGROUP TOGO,1585.0,1585.0,2025-04-16
PALC,PALM COTE D'IVOIRE,5990.0,5990.0,2025-04-16
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,1930.0,1930.0,2025-04-16
SAFC,SAFCA COTE D'IVOIRE,700.0,700.0,2025-04-16
SCRC,SUCRIVOIRE COTE D'IVOIRE,995.0,985.0,2025-04-16
SDCC,SODE COTE D'IVOIRE,6300.0,6300.0,2025-04-16
SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,1330.0,1330.0,2025-04-16
SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,700.0,700.0,2025-04-16
SGBC,SOCIETE GENERALE COTE D'IVOIRE,21805.0,21900.0,2025-04-16
SHEC,VIVO ENERGY COTE D'IVOIRE,900.0,905.0,2025-04-16
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,4895.0,4830.0,2025-04-16
SICC,SICOR COTE D'IVOIRE,3305.0,3305.0,2025-04-16
SIVC,AIR LIQUIDE COTE D'IVOIRE,460.0,460.0,2025-04-16
SLBC,SOLIBRA COTE D'IVOIRE,14200.0,14400.0,2025-04-16
SMBC,SMB COTE D'IVOIRE,8400.0,8445.0,2025-04-16
SNTS,SONATEL SENEGAL,24935.0,24750.0,2025-04-16
SOGC,SOGB COTE D'IVOIRE,5240.0,5245.0,2025-04-16
SPHC,SAPH COTE D'IVOIRE,4630.0,4595.0,2025-04-16
STAC,SETAO COTE D'IVOIRE,500.0,505.0,2025-04-16
STBC,SITAB COTE D'IVOIRE,9745.0,9750.0,2025-04-16
SVOC,MOVIS COTE D'IVOIRE,2395.0,2395.0,2025-04-16
TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,3750.0,3745.0,2025-04-16
TTLS,TOTALENERGIES MARKETING SENEGAL,2340.0,2335.0,2025-04-16
TTRC,TRITURAF Ste en Liquid,490.0,490.0,2025-04-16
UNLC,UNILEVER COTE D'IVOIRE,7600.0,7600.0,2025-04-16
UNXC,UNIWAX COTE D'IVOIRE,390.0,385.0,2025-04-16
