Ticker,Stock Description,Price J-1,Price J,Date
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,1800.0,1800.0,2025-04-15
BICC,BICI COTE D'IVOIRE,15500.0,15500.0,2025-04-15
BNBC,BERNABE COTE D'IVOIRE,865.0,865.0,2025-04-15
BOAB,BANK OF AFRICA BENIN,4695.0,4695.0,2025-04-15
BOABF,BANK OF AFRICA BURKINA FASO,4295.0,4295.0,2025-04-15
BOAC,BANK OF AFRICA COTE D'IVOIRE,5950.0,6000.0,2025-04-15
BOAM,BANK OF AFRICA MALI,2595.0,2600.0,2025-04-15
BOAN,BANK OF AFRICA NIGER,2790.0,2785.0,2025-04-15
BOAS,BANK OF AFRICA SENEGAL,4100.0,4100.0,2025-04-15
CABC,SICABLE COTE D'IVOIRE,1375.0,1375.0,2025-04-15
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,10360.0,10400.0,2025-04-15
CFAC,CFAO MOTORS COTE D'IVOIRE,605.0,610.0,2025-04-15
CIEC,CIE COTE D'IVOIRE,2400.0,2400.0,2025-04-15
ECOC,ECOBANK COTE D'IVOIRE,9900.0,9925.0,2025-04-15
ETIT,Ecobank Transnational Incorporated TOGO,15.0,15.0,2025-04-15
FTSC,FILTISAC COTE D'IVOIRE,3375.0,3400.0,2025-04-15
LNBB,LOTERIE NATIONALE DU BENIN,4805.0,4805.0,2025-04-15
NEIC,NEI-CEDA COTE D'IVOIRE,620.0,620.0,2025-04-15
NSBC,NSIA BANQUE COTE D'IVOIRE,8000.0,8100.0,2025-04-15
NTLC,NESTLE COTE D'IVOIRE,9880.0,9900.0,2025-04-15
ONTBF,ONATEL BURKINA FASO,2650.0,2650.0,2025-04-15
ORAC,ORANGE COTE D'IVOIRE,14605.0,14605.0,2025-04-15
ORGT,ORAGROUP TOGO,1600.0,1600.0,2025-04-15
PALC,PALM COTE D'IVOIRE,5685.0,5650.0,2025-04-15
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,1935.0,1930.0,2025-04-15
SAFC,SAFCA COTE D'IVOIRE,700.0,700.0,2025-04-15
SCRC,SUCRIVOIRE COTE D'IVOIRE,960.0,960.0,2025-04-15
SDCC,SODE COTE D'IVOIRE,6295.0,6200.0,2025-04-15
SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,1340.0,1340.0,2025-04-15
SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,700.0,700.0,2025-04-15
SGBC,SOCIETE GENERALE COTE D'IVOIRE,21850.0,21900.0,2025-04-15
SHEC,VIVO ENERGY COTE D'IVOIRE,925.0,925.0,2025-04-15
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,4800.0,4890.0,2025-04-15
SICC,SICOR COTE D'IVOIRE,3305.0,3305.0,2025-04-15
SIVC,AIR LIQUIDE COTE D'IVOIRE,460.0,460.0,2025-04-15
SLBC,SOLIBRA COTE D'IVOIRE,13995.0,13995.0,2025-04-15
SMBC,SMB COTE D'IVOIRE,8430.0,8430.0,2025-04-15
SNTS,SONATEL SENEGAL,25000.0,24990.0,2025-04-15
SOGC,SOGB COTE D'IVOIRE,5150.0,5245.0,2025-04-15
SPHC,SAPH COTE D'IVOIRE,4625.0,4625.0,2025-04-15
STAC,SETAO COTE D'IVOIRE,475.0,480.0,2025-04-15
STBC,SITAB COTE D'IVOIRE,9745.0,9745.0,2025-04-15
SVOC,MOVIS COTE D'IVOIRE,2395.0,2395.0,2025-04-15
TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,3960.0,3950.0,2025-04-15
TTLS,TOTALENERGIES MARKETING SENEGAL,2300.0,2340.0,2025-04-15
TTRC,TRITURAF Ste en Liquid,490.0,490.0,2025-04-15
UNLC,UNILEVER COTE D'IVOIRE,7590.0,7600.0,2025-04-15
UNXC,UNIWAX COTE D'IVOIRE,385.0,390.0,2025-04-15
