Ticker,Stock Description,Price J-1,Price J,Date
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,1780.0,1800.0,2025-04-11
BICC,BICI COTE D'IVOIRE,14905.0,14915.0,2025-04-11
BNBC,BERNABE COTE D'IVOIRE,925.0,930.0,2025-04-11
BOAB,BANK OF AFRICA BENIN,4700.0,4695.0,2025-04-11
BOABF,BANK OF AFRICA BURKINA FASO,4310.0,4300.0,2025-04-11
BOAC,BANK OF AFRICA COTE D'IVOIRE,5950.0,5950.0,2025-04-11
BOAM,BANK OF AFRICA MALI,2595.0,2595.0,2025-04-11
BOAN,BANK OF AFRICA NIGER,2765.0,2790.0,2025-04-11
BOAS,BANK OF AFRICA SENEGAL,4150.0,4100.0,2025-04-11
CABC,SICABLE COTE D'IVOIRE,1300.0,1310.0,2025-04-11
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,10400.0,10360.0,2025-04-11
CFAC,CFAO MOTORS COTE D'IVOIRE,605.0,605.0,2025-04-11
CIEC,CIE COTE D'IVOIRE,2485.0,2485.0,2025-04-11
ECOC,ECOBANK COTE D'IVOIRE,9900.0,9900.0,2025-04-11
ETIT,Ecobank Transnational Incorporated TOGO,14.0,14.0,2025-04-11
FTSC,FILTISAC COTE D'IVOIRE,3400.0,3375.0,2025-04-11
LNBB,LOTERIE NATIONALE DU BENIN,4845.0,4805.0,2025-04-11
NEIC,NEI-CEDA COTE D'IVOIRE,620.0,620.0,2025-04-11
NSBC,NSIA BANQUE COTE D'IVOIRE,8000.0,8000.0,2025-04-11
NTLC,NESTLE COTE D'IVOIRE,9800.0,9880.0,2025-04-11
ONTBF,ONATEL BURKINA FASO,2780.0,2780.0,2025-04-11
ORAC,ORANGE COTE D'IVOIRE,15780.0,15745.0,2025-04-11
ORGT,ORAGROUP TOGO,1555.0,1555.0,2025-04-11
PALC,PALM COTE D'IVOIRE,5450.0,5400.0,2025-04-11
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,1800.0,1800.0,2025-04-11
SAFC,SAFCA COTE D'IVOIRE,680.0,680.0,2025-04-11
SCRC,SUCRIVOIRE COTE D'IVOIRE,920.0,920.0,2025-04-11
SDCC,SODE COTE D'IVOIRE,6300.0,6300.0,2025-04-11
SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,1305.0,1310.0,2025-04-11
SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,700.0,700.0,2025-04-11
SGBC,SOCIETE GENERALE COTE D'IVOIRE,21900.0,21850.0,2025-04-11
SHEC,VIVO ENERGY COTE D'IVOIRE,910.0,925.0,2025-04-11
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,4995.0,4900.0,2025-04-11
SICC,SICOR COTE D'IVOIRE,3300.0,3305.0,2025-04-11
SIVC,AIR LIQUIDE COTE D'IVOIRE,495.0,495.0,2025-04-11
SLBC,SOLIBRA COTE D'IVOIRE,14495.0,14400.0,2025-04-11
SMBC,SMB COTE D'IVOIRE,8430.0,8430.0,2025-04-11
SNTS,SONATEL SENEGAL,25100.0,25000.0,2025-04-11
SOGC,SOGB COTE D'IVOIRE,5050.0,5150.0,2025-04-11
SPHC,SAPH COTE D'IVOIRE,4305.0,4305.0,2025-04-11
STAC,SETAO COTE D'IVOIRE,475.0,475.0,2025-04-11
STBC,SITAB COTE D'IVOIRE,9750.0,9750.0,2025-04-11
SVOC,MOVIS COTE D'IVOIRE,2395.0,2395.0,2025-04-11
TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,4000.0,3960.0,2025-04-11
TTLS,TOTALENERGIES MARKETING SENEGAL,2300.0,2300.0,2025-04-11
TTRC,TRITURAF Ste en Liquid,490.0,490.0,2025-04-11
UNLC,UNILEVER COTE D'IVOIRE,7590.0,7590.0,2025-04-11
UNXC,UNIWAX COTE D'IVOIRE,390.0,385.0,2025-04-11
